Год,Зарплата
2003,52380
2004,44610
2005,65544
2006,59833
2007,49708
2008,54146
2009,61757
2010,57124
2011,60675
2012,67655
2013,73613
2014,73448
2015,110242
2016,144574
2017,132687
2018,209231
2019,138839
2020,138764
2021,184084
2022,218957
2023,168995
