Год,Зарплата
2003,41304
2004,42967
2005,375739
2006,41317
2007,44449
2008,48411
2009,44811
2010,44657
2011,46448
2012,47969
2013,53542
2014,49077
2015,51734
2016,61305
2017,60364
2018,65581
2019,69938
2020,73111
2021,105412
2022,92382
2023,96073
